实体编码,待爬数据,需爬取总量,现有数据,昨日爬取数据
LJCITY,123,123,0,0
LJDISTRICT,766,766,0,0
LJHOUSE,22977,93573,71089,0
LJNEWHOUSE,125,18227,18337,0
LJPROVINCE,0,0,0,0
