实体编码,待爬数据,需爬取总量,现有数据,昨日爬取数据
ABCFinancial,1,276,275,0
BOCFinancial,31,3335,3331,0
BOCOMFinancial,0,732,733,5
CBHBFinancial,0,822,825,0
CCBFinancial,91,577,491,0
CEBFinancial,0,0,0,0
CGBFinancial,19,485,304,0
CIBFinancial,0,14,14,0
CMBCFinancial,0,0,0,0
CMBFinancial,0,1169,1172,0
CZBFinancial,0,23,23,0
EBCLFinancial,9,61,53,0
ECITICFinancial,0,272,275,0
HXBFinancial,61,1611,986,0
ICBCFinancial,0,12672,2654,73
PABFinancial,82,5783,5722,0
PSBCFinancial,336,639,303,5
SPDBFinancial,0,112,112,0
