实体编码,待爬数据,需爬取总量,现有数据,昨日爬取数据
ABCCARD,0,81,81,0
BOCCARD,0,93,93,0
BOCOMCARD,0,45,44,0
BOCOMCARDAREA,214,216,0,0
CCBCARD,0,141,141,0
CEBCARD,0,391,395,0
CGBCARD,0,94,94,0
CIBCARD,0,48,49,0
CMBCCARD,0,42,44,0
CZBCARD,0,4,4,0
EBCLCARD,0,2,2,0
ECITICCARD,0,73,73,0
HXBCARD,1,54,58,0
HXBSERIES,298,302,0,0
ICBCCARD,11,55,45,0
ICBCCARDSERIES,523,528,0,0
PABCARD,0,43,44,0
PSBCCARD,0,82,83,0
