实体编码,待爬数据,需爬取总量,现有数据,昨日爬取数据
CAIJINGNEWS,265,773,501,0
CNINFONEWS,2,670,666,19
CSFINACIAL,294,1345,1062,0
CSFINACIALNEWS,0,1392,1417,16
CSNEWS,0,3271,3244,19
CSNOTICE,21,560,539,0
FINAQQNEWS,83,510,423,0
HOUSEQQNEWS,44,4267,4234,0
NEWS10JQKA,427,27930,27729,0
NEWS10JQKA2,178,19152,19130,16
NEWS163DOM,3,488,495,0
WYCJGSNEWS,0,0,0,0
WYCJNEWS,4,145,141,0
XLCJGSNEWS,0,1495,1501,2
XLCJNEWS,79367,125847,46774,0
XLCJYHMKNEWS,110,1659,1554,0
